scenario,method,p_value_intime,p_value_oot,p_value_grade_intime,p_value_grade_oot,oot_mean_pd,expected_loss,unexpected_loss_capital,el_plus_ul,rwa
11,Французский сплайн,0.7230253922798149,0.011065669239815881,0.01709976997456317,0.00010916749228259645,0.03765799435081045,105758711.33481607,482488988.79107773,588247700.1258938,6031112359.888472
12,Бета-калибровка,0.7983297077758837,0.04161327039682523,0.036980011958776766,0.01647638022081387,0.037699035693635925,105873971.84200715,471293074.4560674,577167046.2980745,5891163430.700842
12,Изотоническая регрессия,0.7983033841703946,0.04462850464270026,0.654662448690429,0.013639369466952411,0.03759932235265804,105593936.89520484,475493727.25876766,581087664.1539725,5943671590.734595
12,Логит-калибровка,0.8115594069986432,0.04157211730920815,0.02566846188934895,0.02817979539270335,0.03766047726023107,105765684.33763295,477800306.31977624,583565990.6574092,5972503828.997202
12,Монотонный сплайн,0.7983650740561739,0.041634080991015884,0.0005996257280831932,0.0007919921529116946,0.03770928504804635,105902756.12893337,482549021.5699235,588451777.6988568,6031862769.6240425
12,Французский сплайн,0.7983655747204234,0.04161989944525431,0.2210046404052472,0.015457390882352396,0.03770252992336277,105883785.03677198,481402653.9775428,587286439.0143148,6017533174.719285
13,Бета-калибровка,0.9864563492761715,0.011743044840875093,0.02952746133323683,0.025245110903857983,0.03636585117166796,102129856.43051231,467363953.16705906,569493809.5975714,5842049414.588238
13,Изотоническая регрессия,0.9864520073134104,0.012785651241572318,0.08995424813221543,0.0216422357309662,0.03631388799213857,101983923.03712197,471412296.2859181,573396219.3230402,5892653703.5739765
13,Логит-калибровка,1.0,0.011727158018549344,0.007704948746853572,0.04256028479520943,0.03632710048345878,102021028.99774565,473960012.0728773,575981041.0706229,5924500150.910965
13,Монотонный сплайн,1.0,0.011736312969162119,0.019925585052046255,0.0001368982051507841,0.03635547481349933,102100715.46623152,478622967.0588323,580723682.5250638,5982787088.235403
13,Французский сплайн,1.0,0.011734744681321112,0.11661179647693744,0.012633395175362962,0.036352553467491215,102092511.15810232,477500216.5339924,579592727.6920948,5968752706.674906
14,Бета-калибровка,0.9456782057865785,0.04835012881314359,0.07096837606484059,0.07559874922125132,0.03646696149906068,102413814.67396203,469115772.5142282,571529587.1881902,5863947156.427853
14,Изотоническая регрессия,0.9321453771454533,0.05965910636079744,0.06772827442864206,0.05552734975513923,0.03629808649560943,101939546.11426952,473144993.8206687,575084539.9349382,5914312422.758358
14,Логит-калибровка,0.9456807991599613,0.05190698670561117,0.0200075999215224,0.11977021454457425,0.03642140991746367,102285887.61220497,475615045.96429574,577900933.5765007,5945188074.553697
14,Монотонный сплайн,0.9321459016217493,0.048341763945447154,0.00012076746633238525,0.0038538315011452324,0.036450277907306206,102366960.47487876,480237578.47587466,582604538.9507535,6002969730.948433
14,Французский сплайн,0.9321450281504994,0.048341616194222586,0.07314869076819043,0.05267874833169402,0.03644620998712354,102355536.12783778,479123183.56097734,581478719.6888151,5989039794.512217
15,Бета-калибровка,0.9592629842817828,0.027204444897198882,0.07184728940864246,0.0423233090610031,0.03719207164565465,104450214.00965652,469628273.7631171,574078487.7727736,5870353422.038963
15,Изотоническая регрессия,0.9728483126951226,0.02716071567090434,0.09318782143807698,0.09271098794612988,0.037141390162294716,104307880.13178849,474119271.17800534,578427151.3097938,5926490889.725067
15,Логит-калибровка,0.9592610234915879,0.027160554175307966,0.02030998505360712,0.042825686418937234,0.037138452941053335,104299631.23965421,476184216.1811601,580483847.4208143,5952302702.264501
15,Монотонный сплайн,0.9592683907026955,0.02720993965826843,0.004006867506482611,0.0002521447411952714,0.03719535047935154,104459422.28621086,481014221.6770312,585473643.963242,6012677770.96289
15,Французский сплайн,0.959264744188026,0.02719732454230496,0.1834128518434223,0.007580846367812336,0.03718750010325244,104437375.28997415,479856702.2049121,584294077.4948862,5998208777.561401
16,Бета-калибровка,0.6333297235944114,0.03624135468437171,0.1300354973307199,0.004125873567198783,0.03673132500026242,103156253.13073695,470236362.9802657,573392616.1110027,5877954537.253322
16,Изотоническая регрессия,0.6333420399587885,0.03900216233823324,0.35985934200177644,0.005022471172027483,0.03668203754622023,103017834.24480489,474312792.0412761,577330626.2860811,5928909900.515951
16,Логит-калибровка,0.6456140752707205,0.03898651666604577,0.08908860680508832,0.009398358589741652,0.03665871937349842,102952347.48853295,476759376.2168611,579711723.705394,5959492202.710764
16,Монотонный сплайн,0.6332990986313227,0.036253509180818835,0.003869179405288992,4.572868142069694e-05,0.03674902378510388,103205958.39808577,481616883.39274496,584822841.7908306,6020211042.409311
16,Французский сплайн,0.6333275567237725,0.03624094947480018,0.3617340906952732,0.003586400177039564,0.03673012353667698,103152878.94040361,480436509.2385917,583589388.1789954,6005456365.482396
17,Бета-калибровка,0.8644539004164581,0.016341442362797748,0.10217429262050551,0.013489873430681053,0.036062550719107925,101278067.43954271,466793210.8106514,568071278.2501942,5834915135.133142
17,Изотоническая регрессия,0.877863587439701,0.017760875466720928,0.01244003183351645,0.013877946243052088,0.03603946756775537,101213240.71728417,470951446.15658796,572164686.8738723,5886893076.95735
17,Логит-калибровка,0.8778704050162924,0.017747641840632246,0.08887119475032498,0.01858069920462694,0.036028386873629144,101182121.6959001,473340302.43399966,574522424.1298997,5916753780.424995
17,Монотонный сплайн,0.8778727660763843,0.01634299293308248,0.0031408799252040007,0.00010079637610441825,0.03606736894024004,101291598.93177015,478007446.89945817,579299045.8312283,5975093086.243227
17,Французский сплайн,0.8778698640929716,0.016340883715422652,0.03060619913887735,0.006922551304324482,0.03606027042544307,101271663.46281432,476879708.74488807,578151372.2077024,5960996359.311101
18,Бета-калибровка,0.932050218826165,0.1273023059615694,0.07024451596668443,0.028523699473886072,0.036623118598125955,102852366.27097693,469220562.23010623,572072928.5010831,5865257027.876327
18,Изотоническая регрессия,0.9184898539199937,0.1432171520585747,0.07550116757868093,0.039791558064941154,0.036499365286157326,102504817.46964422,473520186.0589903,576025003.5286345,5919002325.737378
18,Логит-калибровка,0.9320491868210459,0.13507993248817443,0.04855052092833809,0.057751354370721396,0.03657255443664256,102710361.87986699,475721753.09093094,578432114.9707979,5946521913.636637
18,Монотонный сплайн,0.9185075221780823,0.12730305522128615,0.0008408327658459743,8.617628670003612e-05,0.03662920028673904,102869446.08527794,480574591.83182335,583444037.9171013,6007182397.897791
18,Французский сплайн,0.9185078005844904,0.13522703250358206,0.12106321050780547,0.002854180646933851,0.03661921227968208,102841395.76625916,479403492.18028295,582244887.946542,5992543652.253537
19,Бета-калибровка,0.9184863685678679,0.031250802844476074,0.10932551734266512,0.008317609346607966,0.036860186966704796,103518149.07729374,469293668.9570495,572811818.0343432,5866170861.9631195
19,Изотоническая регрессия,0.9049305563287628,0.03125544999606944,0.1690784106440292,0.011964796266065534,0.0368752571141501,103560472.07937914,473662932.9282222,577223405.0076013,5920786661.602777
19,Логит-калибровка,0.9184905206106873,0.03367134196709318,0.048976886477810025,0.014859289847379486,0.036810305752576405,103378062.6755356,475894253.8353522,579272316.5108877,5948678172.941902
19,Монотонный сплайн,0.918477770000963,0.031250808380627416,0.0005061130627430251,0.00014959382494793852,0.036856692595741564,103508335.48588061,480491445.00189984,583999780.4877805,6006143062.5237465
19,Французский сплайн,0.9184786969444136,0.03372593607483108,0.09644265491823595,0.006756873145843189,0.03684935537978938,103487729.64860052,479381226.8233319,582868956.4719325,5992265335.291649
20,Бета-калибровка,0.9864220505855131,0.09675409984370364,0.025467341411017357,0.007542839271374891,0.03768268167734695,105828043.22266118,473154012.6916089,578982055.9142702,5914425158.645111
20,Изотоническая регрессия,0.9864208519591188,0.10292231906538725,0.1441975173492869,0.017253655464027146,0.0376303472291647,105681067.15838614,476976942.342235,582658009.5006212,5962211779.277938
20,Логит-калибровка,0.9728523938675301,0.10292120595001789,0.009939597072515547,0.028523699473886072,0.03762927185036465,105678047.06456411,479572701.8606076,585250748.9251717,5994658773.257595
20,Монотонный сплайн,0.9728533364065866,0.1030433373221254,6.480782822313029e-05,0.0002021985266323504,0.0376766384302203,105811071.36743069,484160633.8325286,589971705.1999593,6052007922.906607
20,Французский сплайн,0.972852679184486,0.10302096379885312,0.05195342587233978,0.006179448686653089,0.037671001509600996,105795240.63956346,483057269.84272254,588852510.482286,6038215873.034033
21,Бета-калибровка,0.9193411005410081,0.031898118836312536,0.10947483172159056,0.01327517372637996,0.037174509886844384,104400893.56621377,470597927.3246592,574998820.890873,5882474091.558241
21,Изотоническая регрессия,0.919352803860608,0.03439664358543587,0.008899131982296679,0.019422017294778285,0.03713741417677134,104296713.97404464,474585235.6936766,578881949.6677213,5932315446.170958
21,Логит-калибровка,0.932764539303763,0.03188271909283742,0.10813643754808847,0.038383814984446984,0.0371421847950129,104310111.77831423,477094117.4917787,581404229.270093,5963676468.647234
21,Монотонный сплайн,0.9193637548633586,0.03188408179455997,0.008784867738409387,0.0004501639310311152,0.03715338795976919,104341574.74621579,481704035.36059386,586045610.1068096,6021300442.007423
21,Французский сплайн,0.9193628276754857,0.03188535457131603,0.02831859449807318,0.013981714015855191,0.03715684733401655,104351290.0528521,480593569.44047844,584944859.4933307,6007419618.005981
22,Бета-калибровка,0.5631045407722902,0.01904836996161828,0.028869205389996034,0.014972216825596199,0.03685050823778217,103490967.33498746,469956338.74438024,573447306.0793676,5874454234.304752
22,Изотоническая регрессия,0.5745407675345773,0.022328159702927425,0.03409499853150603,0.04629253176947663,0.03675204855631711,103214453.16556099,474204477.84729433,577418931.0128554,5927555973.091179
22,Логит-калибровка,0.5631250814355797,0.02064984967782136,0.3051435182437032,0.03168125132239246,0.03682441351871,103417682.92594513,476405658.05682284,579823340.9827679,5955070725.710285
22,Монотонный сплайн,0.5745545486763373,0.019046964262083993,7.883477093635726e-05,0.00012762620547450957,0.036838932711221836,103458458.6261954,481292677.2167678,584751135.8429632,6016158465.209598
22,Французский сплайн,0.574565612634487,0.019046975373589372,0.0542354727633343,0.0018433645561395763,0.036838419923383575,103457018.51283044,480111726.5715358,583568745.0843663,6001396582.144198
23,Бета-калибровка,0.8653553729711501,0.018230617462143654,0.463283599574415,0.00978015443200812,0.037361438121674445,104925862.82091051,473137895.23327935,578063758.0541898,5914223690.415993
23,Изотоническая регрессия,0.8653803601122214,0.018236770478302595,0.10713212046498567,0.0058331508275712915,0.03737064398670122,104951716.5722517,477555680.1661893,582507396.738441,5969446002.077366
23,Логит-калибровка,0.8787278695069469,0.01972274875968211,0.32014822487448286,0.021071976724236552,0.03727536479759072,104684134.4975538,479598500.7229471,584282635.2205008,5994981259.036839
23,Монотонный сплайн,0.8787279923463922,0.0182251683268935,0.008486151089153276,0.0007317807166992877,0.03734833044057386,104889051.20930763,484352158.13159204,589241209.3408996,6054401976.644899
23,Французский сплайн,0.8787225804617899,0.018223616773417654,0.3847873412707574,0.007723964892243955,0.037338046065079594,104860168.56916955,483220140.001488,588080308.5706575,6040251750.0185995
24,Бета-калибровка,0.6350280600154512,0.023820057910486123,0.0050831083181719265,0.046704081539331276,0.03756842841953385,105507174.37341887,472026969.3351922,577534143.708611,5900337116.689902
24,Изотоническая регрессия,0.6350316138813978,0.02572187190677197,0.0034600645027579773,0.013476265809520398,0.03752192776467402,105376581.93431053,476382082.51823866,581758664.4525492,5954776031.477983
24,Логит-калибровка,0.635031936834461,0.025713482926390564,0.001606991941437507,0.07569915033119098,0.03750954870109376,105341816.57215172,478523292.2077071,583865108.7798588,5981541152.596338
24,Монотонный сплайн,0.6471097224927378,0.02382018339008856,0.0030502799673776254,0.0008024837095149073,0.03756898942090599,105508749.88967237,483480901.6089707,588989651.498643,6043511270.112133
24,Французский сплайн,0.6471121589600022,0.023819203181930655,0.0050578967106446274,0.033499785964993846,0.03756092856100012,105486111.77071276,482288638.1900164,587774749.9607291,6028607977.375205
25,Бета-калибровка,0.6106742268660335,0.08501985967233652,0.12317419424273483,0.005215247309264946,0.03632823754424699,102024222.31926323,468744324.74496925,570768547.0642325,5859304059.312116
25,Изотоническая регрессия,0.6106888794224048,0.09077488817188012,0.03775281606102152,0.017080012293735868,0.03631564738817383,101988864.1249474,472828430.68220353,574817294.807151,5910355383.527544
25,Логит-калибровка,0.6106804778971202,0.09673861959453817,0.08835715658238462,0.004136237209472264,0.03624904361578414,101801814.09056818,475333337.3267448,577135151.417313,5941666716.58431
