method,n_bins,alpha,shrinkage,fit_ct,fit_mean_pd,fit_ct_gap_abs,oot_default_rate,oot_mean_pd,oot_default_gap,oot_abs_default_gap,brier_score,log_loss,ece_quantile,cal_slope,cal_intercept,rwa_bln,rwa_delta_vs_logit_pct,rwa_abs_delta_to_minus_1pct,candidate_switch_knots,n_binomial_bins,significant_bins_5pct,max_abs_z,min_binomial_p_value,mean_abs_dr_minus_pd
Французский сплайн,30.0,35.0,0.3,0.04807199590058929,0.04807199590058923,6.245004513516506e-17,0.047288058340929806,0.04907152290424749,-15.651685007675951,15.651685007675951,0.03401,0.13046,0.00514,0.9769,-0.0967,8.564716609562385,-0.009435239569791929,0.0005647604302080715,7.0,10.0,2.0,3.152332857733407,0.007484559436184655,0.004915671227658118
Французский сплайн,10.0,50.0,0.9,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049068755470643766,-15.627398010369689,15.627398010369689,0.03414,0.1312,0.00524,0.9931,-0.0633,8.564615478508575,-0.009423320290476045,0.0005766797095239553,2.0,10.0,2.0,4.5836589760768085,0.0005936194631657835,0.0050181760566971175
Французский сплайн,35.0,20.0,0.6,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.04905747820453438,-15.52842872299368,15.52842872299368,0.03391,0.13041,0.00504,0.9817,-0.0874,8.564588714494953,-0.009420165890892935,0.000579834109107065,9.0,10.0,2.0,3.748754426287952,0.0026144254978308313,0.004818043820075675
Французский сплайн,25.0,75.0,0.15,0.04807199590058929,0.048071995900589214,7.632783294297951e-17,0.047288058340929806,0.04906426812398377,-15.588017056081526,15.588017056081526,0.03404,0.13046,0.00516,0.9751,-0.1001,8.564526403343173,-0.009412821914986507,0.0005871780850134935,6.0,10.0,2.0,2.955953965829103,0.010525091997763544,0.0049433958675497965
Французский сплайн,30.0,20.0,1.0,0.04807199590058929,0.04807199590058926,2.7755575615628914e-17,0.047288058340929806,0.04909991487256642,-15.900852921642922,15.900852921642922,0.03391,0.13065,0.00496,0.9864,-0.0791,8.564247155533456,-0.00937990984182059,0.0006200901581794108,8.0,10.0,2.0,4.917555968350994,0.00015635332139653826,0.005249632545403353
Французский сплайн,15.0,50.0,0.6,0.04807199590058929,0.04807199590058923,6.245004513516506e-17,0.047288058340929806,0.049092273915131206,-15.833795879191484,15.833795879191484,0.03406,0.1308,0.00536,0.9843,-0.0821,8.575262803093313,-0.010678211156447298,0.0006782111564472976,4.0,10.0,2.0,3.626927322782203,0.003245252096339077,0.005131906614456243
Французский сплайн,20.0,35.0,0.75,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.0490864302377039,-15.782511766089442,15.782511766089442,0.034,0.13073,0.00497,0.9848,-0.0812,8.562614434737387,-0.00918747779963352,0.0008125222003664799,5.0,10.0,2.0,4.087016747999397,0.0014328333598319356,0.0047444865987619055
Французский сплайн,40.0,20.0,0.6,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.049079753221999145,-15.723914276264509,15.723914276264509,0.03394,0.13049,0.00502,0.9829,-0.0853,8.576783431985028,-0.010857432076365576,0.0008574320763655753,10.0,10.0,2.0,3.538645895647659,0.003794397725995659,0.004792412265824024
Французский сплайн,20.0,35.0,0.9,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.04908968782994256,-15.81110039557592,15.81110039557592,0.03399,0.1308,0.00488,0.9888,-0.0728,8.57802239477547,-0.011003455903913124,0.0010034559039131235,5.0,10.0,2.0,4.308410965684571,0.0009667485737346225,0.004661601834072193
Французский сплайн,35.0,50.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04906156656040851,-15.564308134145108,15.564308134145108,0.03402,0.13045,0.00514,0.9748,-0.1008,8.560870097668335,-0.008981890692965821,0.001018109307034179,9.0,10.0,2.0,2.968165710359279,0.010305464500662822,0.004926647573708091
